
1776266963183|FUND_ADD||100000.00000000|0.00000000|0.00000000|100000.00000000|Added funds
1776266982135|BUY|BTC-USD|100000.00000000|1.34978268|74086.00000000|0.00000000|avg=74086.00000000
1776267063758|SELL|BTC-USD|99931.16071380|1.34978268|74035.00000000|99931.16071380|liquidate
1776267199915|BUY|BTC-USD|95000.00000000|1.28904448|73698.00000000|4931.16071380|avg=73698.00000000
1776267332941|SELL|BTC-USD|94974.21919744|1.28904448|73678.00000000|99905.37991124|liquidate
1776267467351|BUY|BTC-USD|99905.00000000|1.35515857|73722.00000000|0.37991124|avg=73722.00000000
1776267561076|SELL|BTC-USD|99868.41081615|1.35515857|73695.00000000|99868.79072739|liquidate
1776267715811|BUY|HYPE-USD|99868.00000000|2269.72727273|44.00000000|0.79072739|avg=44.00000000
1776267792881|SELL|HYPE-USD|99868.00000012|2269.72727273|44.00000000|99868.79072751|liquidate
1776267808368|BUY|BTC-USD|99868.00000000|1.35139378|73900.00000000|0.79072751|avg=73900.00000000
1776267871758|SELL|BTC-USD|99850.43222286|1.35139378|73887.00000000|99851.22295037|liquidate
1776267882098|FUND_ADD||16.00000000|0.00000000|0.00000000|16.00000000|Added funds
1776267887030|FUND_ADD||17.00000000|0.00000000|0.00000000|17.00000000|Added funds
1776267894684|FUND_REMOVE||5.00000000|0.00000000|0.00000000|99879.22295037|Removed funds
1776267898664|FUND_ADD||20.00000000|0.00000000|0.00000000|20.00000000|Added funds
1776267905832|FUND_ADD||70.00000000|0.00000000|0.00000000|70.00000000|Added funds
1776267921559|BUY|BTC-USD|99969.00000000|1.35243107|73918.00000000|0.22295037|avg=73918.00000000
1776268041419|SELL|BTC-USD|99998.75331580|1.35243107|73940.00000000|99998.97626617|liquidate
1776268477878|BUY|BTC-USD|99998.00000000|1.35145216|73993.00000000|0.97626617|avg=73993.00000000
1776268514348|SELL|BTC-USD|99915.56109312|1.35145216|73932.00000000|99916.53735929|liquidate
1776268522097|BUY|BTC-USD|40000.00000000|0.54103771|73932.00000000|59916.53735929|avg=73932.00000000
1776268555087|BUY|HYPE-USD|2000.00000000|44.44444444|45.00000000|57916.53735929|avg=45.00000000
1776268572311|SELL|HYPE-USD|1999.99999980|44.44444444|45.00000000|59916.53735909|liquidate
1776268579609|SELL|BTC-USD|39959.96318518|0.54103771|73858.00000000|99876.50054427|liquidate
